;Wavelength;Psi;Delta
0;300.0;44.629536;88.08876
1;350.0;25.137354;171.120972
2;400.0;36.720066;270.449791
3;450.0;78.750153;209.653275
4;500.0;41.859158;82.484398
5;550.0;28.017561;88.710129
6;600.0;18.28657;110.535789
7;650.0;11.130793;152.90181
8;700.0;10.993161;212.864532
9;750.0;15.705283;247.148315
10;800.0;20.701488;263.760529
11;850.0;25.139048;273.093864
12;900.0;29.197006;278.617691
13;950.0;33.216274;281.741524
14;1000.0;37.551704;283.213463
