Wavelength;Psi;Delta
600.000000;18.592960;109.915733
640.000000;12.366317;140.808273
680.000000;10.061233;188.082916
720.000000;12.452683;228.768539
760.000000;16.487780;250.880096
800.000000;20.483644;263.614990
