wvl;n;k
300.000000;5.098958;4.229852
350.000000;5.522858;2.941624
400.000000;5.631716;0.285821
450.000000;4.697289;0.073916
500.000000;4.294928;0.035375
550.000000;4.077324;0.025248
600.000000;3.939969;0.018204
650.000000;3.844585;0.012930
700.000000;3.774520;0.009022
750.000000;3.721079;0.006150
800.000000;3.679123;0.004060
850.000000;3.645480;0.002562
900.000000;3.618019;0.001515
950.000000;3.595289;0.000811
1000.000000;3.576244;0.000370
